Critical Industry,Organisation size,Level of digital intensity,Cyber security role,Cyber security frameworks,Improper network segmentation,Inappropriate remote access,Absence of encryption,Number of users affected,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Attacker type
1,3,3,0,0,2,0,2,331,3,0,7,2,1,Unknown
1,0,1,0,0,1,0,2,346,3,0,7,0,1,Unknown
0,0,2,0,0,1,0,1,88,0,0,7,2,1,Unknown
0,0,2,0,0,0,0,1,85,2,0,3,2,1,Insider or Physical theft
1,0,2,0,0,2,0,2,346,3,0,5,0,0,Unknown
1,2,2,0,0,2,0,2,312,3,0,7,0,1,Unknown
1,0,0,0,0,2,0,2,84,4,0,7,0,1,Script kiddie or Hacker
1,3,2,0,0,0,0,0,0,2,0,3,0,1,Insider or Physical theft
1,0,0,0,0,2,0,2,106,3,0,7,2,1,Unknown
1,1,0,1,0,0,0,0,244,1,0,4,1,1,Unknown
1,0,3,0,0,2,1,2,264,3,0,1,1,1,Unknown
0,1,3,0,0,0,0,2,346,2,0,3,0,1,Insider or Physical theft
1,3,3,0,0,1,1,1,346,4,0,9,0,1,Unknown
1,0,0,0,0,0,0,0,225,1,1,0,0,1,Unknown
1,2,2,0,0,2,1,2,346,0,0,5,0,0,Cybercriminal group
1,0,2,0,0,1,1,1,346,0,0,7,0,0,Cybercriminal group
1,3,0,0,0,1,1,1,346,1,0,1,1,1,Unknown
0,0,3,0,0,1,1,1,39,3,0,5,1,1,Unknown
0,3,3,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
0,0,2,0,0,0,0,2,31,2,0,3,2,1,Insider or Physical theft
1,0,2,0,0,2,0,2,298,1,0,4,1,1,Phisher
0,1,3,0,0,2,0,2,297,3,0,4,1,1,Unknown
0,0,0,0,0,2,0,2,330,3,0,7,0,1,Unknown
0,0,3,0,0,2,0,2,214,3,0,5,2,1,Unknown
1,3,0,0,0,2,0,2,346,1,0,4,2,1,Phisher
0,0,0,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
0,0,1,1,0,1,0,1,346,1,0,4,0,1,Unknown
1,0,1,0,0,1,1,1,346,0,0,7,0,1,Cybercriminal group
1,0,2,0,0,2,0,2,93,3,0,9,0,1,Third-party
0,0,2,0,0,1,1,1,346,3,0,7,1,1,Unknown
1,0,0,0,0,1,1,1,104,1,0,5,0,1,Unknown
0,2,0,0,0,1,1,1,346,0,0,9,0,1,Cybercriminal group
0,2,0,0,0,1,1,1,346,3,0,7,2,1,Unknown
0,0,1,0,0,1,1,2,346,0,0,7,0,1,Cybercriminal group
0,0,1,0,0,1,1,2,346,1,0,9,2,1,Script kiddie or Hacker
1,0,1,0,0,1,1,2,346,3,0,7,0,1,Unknown
1,0,1,0,0,1,1,2,346,3,0,7,0,1,Unknown
1,3,3,0,0,1,1,2,115,3,0,7,1,1,Unknown
1,3,2,0,0,1,1,1,157,0,0,7,0,0,Cybercriminal group
1,0,0,0,0,1,1,1,132,3,0,7,0,1,Unknown
0,1,3,0,0,1,1,1,346,3,0,7,1,1,Script kiddie or Hacker
1,0,0,0,0,2,0,2,346,1,0,5,0,1,Script kiddie or Hacker
0,0,1,0,0,2,0,2,259,3,0,4,0,1,Unknown
1,0,0,1,0,1,1,1,159,3,0,5,1,1,Unknown
1,0,0,1,0,2,1,2,234,1,0,4,1,1,Phisher
1,3,0,0,0,1,1,2,219,4,0,2,1,1,Unknown
0,1,3,0,0,1,1,2,216,4,0,8,0,1,Unknown
1,2,1,0,0,1,0,2,346,0,0,1,0,1,Cybercriminal group
0,3,2,0,0,0,0,2,263,2,0,3,0,1,Insider or Physical theft
1,0,1,0,0,0,0,2,346,2,0,3,0,1,Insider or Physical theft
0,0,2,0,0,1,0,1,130,4,0,7,2,1,Unknown
1,1,1,0,0,1,0,2,346,0,0,7,0,1,Cybercriminal group
0,0,2,0,0,0,0,0,346,3,0,1,1,1,Unknown
1,0,2,0,0,1,0,1,346,4,0,8,0,1,Unknown
0,0,0,0,0,1,1,1,83,1,0,5,0,1,Unknown
0,0,3,1,0,0,0,0,346,4,0,5,0,1,Unknown
1,1,2,0,0,2,0,0,243,0,0,5,0,0,Cybercriminal group
0,0,0,0,0,2,0,2,346,3,0,5,0,1,Unknown
1,2,2,0,0,0,0,2,119,2,0,3,2,1,Insider or Physical theft
1,3,2,0,0,0,0,0,139,3,0,9,2,1,Third-party
1,0,3,0,0,2,0,2,174,4,0,8,0,1,Unknown
0,3,0,0,0,0,0,2,346,0,0,9,0,1,Third-party
0,0,2,0,0,0,0,2,346,0,0,8,0,1,Script kiddie or Hacker
1,0,3,0,0,2,0,2,74,3,0,5,2,1,Unknown
1,0,0,0,0,2,1,2,193,3,0,7,0,1,Unknown
0,3,3,0,0,1,2,2,178,3,0,8,1,1,Script kiddie or Hacker
1,1,3,0,0,1,1,1,245,3,0,7,0,1,Unknown
1,1,2,0,0,2,0,2,68,0,0,4,2,1,Cybercriminal group
1,0,2,1,0,2,0,2,210,0,0,5,2,1,Cybercriminal group
1,0,2,1,0,0,0,2,346,2,0,3,0,1,Insider or Physical theft
0,0,0,0,0,2,0,2,263,4,0,5,0,1,Script kiddie or Hacker
0,0,3,0,0,2,0,2,346,0,0,5,0,1,Cybercriminal group
1,0,2,0,0,0,0,2,236,2,0,9,0,1,Insider or Physical theft
1,3,2,0,0,0,0,2,280,2,0,3,2,1,Insider or Physical theft
1,3,2,0,0,2,0,2,231,0,0,5,0,0,Cybercriminal group
1,1,0,0,0,2,0,2,346,3,0,5,2,1,Unknown
1,0,2,0,0,2,0,2,346,3,0,4,2,1,Unknown
0,0,0,0,0,2,0,2,346,0,0,5,2,1,Unknown
1,0,2,0,0,2,0,1,235,0,0,4,2,1,Cybercriminal group
1,0,2,0,0,2,1,2,315,0,0,7,2,1,Unknown
1,0,1,0,0,1,0,1,346,0,0,9,0,1,Third-party
0,1,3,0,0,2,0,1,346,0,0,2,0,1,Unknown
0,2,0,0,0,2,0,1,346,4,0,9,2,1,Unknown
1,0,0,1,0,1,1,1,346,3,0,9,2,1,Unknown
1,0,3,0,0,1,0,2,227,3,0,9,2,1,Script kiddie or Hacker
0,1,3,1,0,1,0,1,346,3,0,9,2,1,Third-party
0,0,0,1,0,0,0,2,346,3,0,4,2,1,Phisher
1,2,2,0,0,1,0,1,346,0,0,5,0,0,Cybercriminal group
1,2,2,0,0,1,0,1,70,3,0,5,0,1,Unknown
1,2,2,0,0,1,0,1,346,0,0,9,0,0,Cybercriminal group
0,0,0,0,0,2,0,2,292,3,0,7,0,1,Unknown
1,0,0,0,0,2,0,2,346,3,0,5,0,1,Unknown
1,0,0,0,0,0,0,2,327,3,1,0,0,1,Unknown
1,0,0,0,0,0,0,2,346,3,0,1,1,1,Script kiddie or Hacker
1,0,2,1,0,0,0,2,15,2,0,3,2,1,Insider or Physical theft
1,0,1,0,0,2,0,2,346,0,0,5,0,1,Cybercriminal group
1,1,2,0,0,2,0,2,40,0,0,5,0,0,Cybercriminal group
0,0,3,0,0,2,0,2,346,4,0,8,0,1,Script kiddie or Hacker
1,0,2,0,0,2,0,2,50,1,0,4,2,1,Phisher
1,2,2,0,0,2,0,2,102,0,0,5,0,0,Cybercriminal group
0,3,3,0,0,2,0,2,346,4,0,8,0,1,Script kiddie or Hacker
0,0,2,0,0,0,0,0,215,1,0,9,2,1,Third-party
1,0,0,0,0,2,0,0,25,4,0,2,1,1,Unknown
1,0,2,1,0,0,0,0,149,1,1,0,0,1,Unknown
1,2,2,0,0,2,2,2,346,3,0,7,2,1,Unknown
0,1,0,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
0,0,1,0,0,0,0,2,346,0,0,7,0,1,Cybercriminal group
0,0,1,0,0,0,0,2,346,0,0,7,0,1,Cybercriminal group
0,2,3,0,0,0,0,2,346,0,0,9,0,1,Unknown
1,0,2,1,0,0,0,0,209,1,0,4,2,1,Phisher
0,0,2,0,0,2,0,2,49,3,0,5,1,1,Unknown
1,0,2,0,0,1,0,1,346,0,0,6,0,1,Cybercriminal group
0,0,2,1,0,2,0,0,346,1,0,4,2,1,Phisher
0,1,3,0,0,2,0,2,346,4,0,9,0,1,Third-party
0,3,3,0,0,2,0,2,346,3,0,7,0,1,Unknown
1,0,3,0,0,2,0,2,346,4,0,9,0,1,Script kiddie or Hacker
0,3,0,0,0,2,0,0,346,0,0,7,0,1,Unknown
1,0,2,0,0,2,0,0,300,1,0,9,2,1,Unknown
1,0,2,0,0,0,0,2,33,2,0,3,2,1,Insider or Physical theft
0,0,0,0,0,1,1,2,238,3,0,7,1,1,Unknown
0,2,3,0,0,2,0,2,346,0,0,8,0,1,Cybercriminal group
0,2,3,0,0,2,0,2,135,4,0,8,0,1,Unknown
0,3,3,0,0,1,0,2,346,4,0,8,0,1,Unknown
1,0,0,0,0,1,1,1,252,1,0,3,0,1,Unknown
1,0,0,1,0,1,0,2,346,3,0,9,1,1,Script kiddie or Hacker
1,0,0,0,0,1,0,2,346,3,0,5,0,1,Unknown
1,1,0,0,0,1,0,2,246,3,0,5,0,1,Unknown
1,0,2,0,0,2,0,2,189,0,0,7,0,1,Script kiddie or Hacker
0,2,3,0,0,1,1,2,346,0,0,8,0,1,Cybercriminal group
0,0,3,1,0,1,1,2,346,0,0,7,0,1,Cybercriminal group
1,2,2,0,0,2,0,2,346,0,0,3,0,1,Cybercriminal group
0,0,1,1,0,1,1,1,217,3,0,7,0,1,Script kiddie or Hacker
0,0,3,1,0,2,0,1,346,0,0,7,0,1,Cybercriminal group
1,0,2,1,0,2,1,2,41,1,0,4,2,1,Phisher
1,0,2,0,0,2,1,2,346,1,0,4,2,1,Phisher
0,1,3,0,0,2,1,2,346,0,0,2,0,1,Script kiddie or Hacker
0,0,3,0,0,2,1,2,346,3,0,7,0,1,Script kiddie or Hacker
1,0,0,0,0,2,1,2,97,3,0,5,1,1,Unknown
1,0,3,1,0,1,1,1,346,3,0,5,1,1,Unknown
0,0,3,1,0,1,1,1,158,3,0,7,2,1,Unknown
0,1,3,0,0,1,1,1,346,3,0,8,0,1,Unknown
0,0,3,1,0,2,0,1,346,0,0,8,0,1,Script kiddie or Hacker
0,1,3,0,0,2,0,1,346,4,0,8,0,1,Unknown
0,3,0,0,0,2,0,2,185,4,0,2,1,1,Script kiddie or Hacker
1,0,2,0,0,1,1,2,307,1,0,4,2,1,Script kiddie or Hacker
0,0,3,0,0,0,0,2,346,1,0,4,2,1,Unknown
1,0,2,0,0,0,0,2,346,1,0,4,2,1,Unknown
1,0,2,0,0,1,0,2,346,3,0,7,2,1,Unknown
1,1,1,0,0,2,0,2,346,0,0,7,0,1,Cybercriminal group
0,3,3,0,0,0,0,2,256,2,0,9,0,1,Insider or Physical theft
1,0,2,0,0,2,0,2,157,0,0,7,1,1,Cybercriminal group
0,0,3,0,0,2,0,2,346,4,0,7,1,1,Unknown
1,0,2,0,0,1,1,2,346,4,0,8,0,1,Unknown
1,0,2,0,0,0,0,2,144,2,0,3,2,1,Insider or Physical theft
1,1,0,1,0,1,0,2,346,4,0,8,2,1,Unknown
1,0,2,1,0,1,1,1,18,3,0,7,2,1,Unknown
0,0,0,1,0,1,0,2,2,2,0,3,2,1,Insider or Physical theft
1,1,2,0,0,1,1,1,217,0,0,7,0,0,Cybercriminal group
1,3,1,0,0,2,1,1,346,0,0,8,0,1,Script kiddie or Hacker
0,1,3,0,0,2,0,1,200,0,0,4,0,1,Cybercriminal group
1,1,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
0,0,2,1,0,2,0,2,1,0,0,9,2,1,Unknown
1,0,2,0,0,0,0,2,9,1,0,4,2,1,Unknown
1,2,0,0,0,2,0,2,346,4,0,8,0,1,Unknown
1,1,2,0,0,2,0,0,143,0,0,5,0,0,Cybercriminal group
0,3,3,0,0,2,0,2,296,4,0,9,1,1,Unknown
1,0,2,0,0,0,0,0,346,2,0,3,2,1,Insider or Physical theft
1,0,1,1,0,0,0,1,231,4,0,2,0,1,Unknown
0,1,3,0,0,1,1,2,346,0,0,7,0,1,Cybercriminal group
0,0,3,0,0,1,1,2,346,0,0,7,0,1,Cybercriminal group
0,0,2,1,0,0,0,2,346,1,0,4,1,1,Phisher
1,1,0,0,0,0,0,1,346,2,0,3,2,1,Unknown
1,0,2,0,0,0,0,2,309,2,0,3,2,1,Insider or Physical theft
0,0,2,0,0,2,0,2,330,3,0,7,2,1,Unknown
0,2,3,0,0,2,0,2,346,4,0,8,0,1,Unknown
0,1,3,0,0,2,0,2,346,4,0,8,0,1,Unknown
1,1,1,0,0,2,0,2,346,0,0,2,0,1,Unknown
0,0,2,0,0,2,0,2,77,3,0,1,2,1,Script kiddie or Hacker
1,0,0,1,0,2,0,2,346,3,0,5,2,1,Unknown
1,3,3,0,0,0,0,1,203,2,0,3,2,1,Insider or Physical theft
1,0,2,0,0,0,0,1,346,2,0,3,2,1,Insider or Physical theft
0,0,2,0,0,2,0,2,346,4,0,8,2,1,Unknown
0,0,2,0,0,0,0,1,64,2,0,3,2,1,Unknown
0,1,0,0,0,2,0,2,346,0,0,7,2,1,Cybercriminal group
0,2,2,1,0,2,0,2,346,3,0,7,2,1,Unknown
1,0,2,0,0,0,0,2,239,2,0,3,2,1,Insider or Physical theft
1,0,0,1,0,2,1,1,11,3,0,7,0,1,Unknown
1,0,0,1,0,1,1,1,1,1,1,0,2,1,Unknown
1,2,2,0,0,1,1,1,337,0,0,7,0,0,Cybercriminal group
1,2,2,0,0,0,0,2,346,2,0,3,2,1,Unknown
1,0,0,0,0,2,0,2,204,0,0,7,0,1,Unknown
1,1,1,0,0,1,1,2,59,3,0,7,1,1,Unknown
0,3,2,0,0,1,1,2,346,3,0,7,1,1,Unknown
0,0,0,0,0,2,1,1,17,3,0,7,2,1,Unknown
0,1,3,0,0,1,1,2,129,3,0,5,0,1,Unknown
0,3,0,0,0,2,2,2,346,0,0,7,0,0,Cybercriminal group
1,1,2,0,0,1,1,0,104,1,0,4,1,1,Phisher
1,0,1,0,0,2,0,2,20,0,0,5,0,1,Cybercriminal group
0,0,2,0,0,1,1,1,346,0,0,7,0,1,Cybercriminal group
0,3,2,0,0,1,1,1,346,3,0,2,1,1,Unknown
1,2,2,0,0,0,0,2,346,2,0,3,1,1,Unknown
1,0,2,1,0,0,0,0,346,1,0,4,2,1,Phisher
0,3,0,0,0,1,1,1,112,1,0,5,2,1,Unknown
1,0,2,0,0,0,0,2,167,2,0,3,1,1,Insider or Physical theft
1,1,0,0,0,1,1,1,346,3,0,7,1,1,Unknown
1,1,0,0,0,0,0,2,346,2,0,3,1,1,Insider or Physical theft
0,1,0,0,0,2,0,2,21,1,0,4,0,1,Phisher
0,0,2,0,0,1,1,1,89,0,0,6,1,1,Unknown
1,3,1,0,0,1,1,1,190,3,0,5,2,1,Unknown
1,3,2,0,0,1,1,1,157,3,0,2,0,1,Unknown
1,0,2,0,0,1,1,1,163,3,0,7,2,1,Unknown
1,1,0,0,0,0,0,0,310,1,1,0,0,1,Unknown
0,2,3,0,0,1,1,2,106,3,0,5,1,1,Unknown
0,0,3,0,0,1,1,1,346,1,0,5,1,1,Unknown
1,3,0,0,1,1,1,1,346,0,0,5,0,1,Cybercriminal group
0,3,3,0,0,1,1,1,346,0,0,9,0,1,Unknown
1,1,2,0,0,0,0,2,333,2,0,3,1,1,Insider or Physical theft
1,0,0,0,0,1,1,1,346,1,0,1,1,1,Unknown
1,0,2,0,0,1,1,1,346,1,0,4,1,1,Phisher
1,0,0,0,0,2,0,0,232,4,0,8,0,1,Unknown
1,0,1,0,0,1,1,1,346,0,0,5,0,1,Cybercriminal group
0,0,2,0,0,1,1,1,204,3,0,5,1,1,Unknown
1,0,2,0,0,2,0,2,346,2,0,9,2,1,Unknown
0,0,2,0,0,0,0,0,202,2,0,3,2,1,Insider or Physical theft
0,3,2,0,0,0,0,2,32,2,0,3,2,1,Insider or Physical theft
1,0,2,0,0,0,0,0,89,3,0,4,1,1,Phisher
1,0,0,0,0,2,0,2,253,3,0,7,1,1,Unknown
0,2,0,0,0,1,1,0,346,1,0,1,2,1,Unknown
1,0,1,0,0,1,1,1,346,0,0,5,0,1,Cybercriminal group
1,0,0,1,0,1,1,1,57,1,0,5,0,1,Unknown
1,0,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,1,0,0,1,1,1,346,0,0,7,0,1,Cybercriminal group
0,3,0,0,0,1,1,2,346,3,0,5,0,1,Unknown
1,0,2,0,0,0,0,2,257,2,0,3,2,1,Insider or Physical theft
1,0,0,0,0,1,0,2,199,2,0,9,0,1,Unknown
0,0,2,0,0,1,1,1,346,1,0,4,1,1,Phisher
1,0,3,0,0,1,1,1,346,1,0,9,0,1,Script kiddie or Hacker
1,3,3,0,0,1,1,1,346,0,0,9,0,1,Unknown
1,0,3,0,0,1,1,2,346,3,0,5,1,1,Unknown
1,0,3,0,0,1,0,1,346,3,0,5,2,1,Unknown
1,3,3,0,0,1,1,1,150,4,0,8,1,1,Unknown
0,0,2,0,0,0,0,2,346,2,0,3,1,1,Insider or Physical theft
0,0,0,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,3,3,0,0,1,1,1,346,3,0,5,0,1,Unknown
0,3,0,0,0,2,1,2,266,1,0,7,0,1,Unknown
0,3,3,0,0,0,0,0,346,2,0,4,0,1,Phisher
1,3,3,0,0,1,0,1,346,1,0,2,0,1,Unknown
1,1,0,0,0,0,0,2,346,2,0,3,1,1,Insider or Physical theft
1,0,3,0,0,0,0,2,52,2,0,9,2,1,Insider or Physical theft
1,2,2,0,0,1,1,1,0,0,0,5,0,0,Cybercriminal group
0,2,3,0,0,2,0,2,346,0,0,8,0,1,Cybercriminal group
1,0,0,1,0,1,1,1,346,1,0,2,1,1,Unknown
1,3,3,0,0,1,1,1,241,4,0,8,2,1,Unknown
1,0,3,0,0,0,0,1,346,1,0,4,2,1,Phisher
0,0,2,0,0,2,0,0,103,0,0,5,2,1,Unknown
1,0,2,0,0,1,1,1,203,3,0,9,1,1,Third-party
1,0,2,1,0,2,2,1,218,3,0,1,2,1,Unknown
1,3,0,0,0,0,0,0,2,2,1,3,0,1,Unknown
0,0,0,0,0,1,1,1,267,3,0,5,2,1,Unknown
1,0,2,0,0,0,0,2,346,2,0,3,2,1,Unknown
1,0,2,0,0,1,1,1,38,3,0,5,1,1,Unknown
1,0,2,0,0,1,1,1,346,1,0,4,1,1,Phisher
1,3,2,0,0,1,1,1,114,3,0,5,0,1,Unknown
1,1,2,0,0,0,0,2,213,2,0,3,1,1,Insider or Physical theft
1,0,2,0,0,0,0,2,157,2,0,3,2,1,Unknown
1,0,0,0,0,1,1,1,346,3,0,1,0,1,Unknown
0,0,2,0,0,1,0,2,217,2,0,3,2,1,Insider or Physical theft
0,3,2,0,0,1,1,1,346,1,0,4,2,1,Phisher
1,0,0,0,0,0,0,2,106,1,1,0,0,1,Unknown
1,0,3,0,0,1,1,1,284,1,0,4,2,1,Phisher
1,0,0,0,0,1,1,1,346,1,0,4,1,1,Phisher
0,1,0,0,0,1,1,1,346,1,0,4,0,1,Phisher
1,1,2,0,0,1,0,1,123,1,0,5,0,1,Phisher
0,0,1,0,0,1,1,1,346,3,0,5,2,1,Unknown
0,0,1,0,0,0,0,2,346,0,0,2,0,1,Cybercriminal group
1,3,0,0,0,2,0,2,346,0,0,2,0,1,Cybercriminal group
0,3,3,0,0,1,0,2,346,3,0,5,0,1,Unknown
0,2,2,0,0,1,1,1,346,0,0,5,0,1,Cybercriminal group
1,0,0,0,0,1,0,2,346,3,0,5,1,1,Unknown
1,0,0,0,0,0,0,2,98,3,0,5,2,1,Unknown
0,3,3,0,0,1,1,1,346,4,0,8,2,1,Unknown
0,3,0,0,0,2,0,2,273,4,0,2,1,1,Unknown
0,0,3,0,0,0,0,0,313,1,1,3,0,1,Unknown
0,0,3,0,0,0,0,0,346,3,0,1,1,1,Unknown
1,0,1,0,0,2,0,2,346,0,0,5,0,1,Cybercriminal group
1,3,1,0,0,1,1,2,247,3,0,7,0,1,Unknown
1,1,0,0,0,1,1,1,346,0,0,5,0,1,Cybercriminal group
1,1,1,0,0,2,0,2,346,0,0,5,0,1,Cybercriminal group
1,0,0,0,0,2,0,2,118,4,0,7,0,1,Unknown
1,2,3,0,0,0,0,2,171,2,0,3,0,1,Insider or Physical theft
1,0,2,0,0,0,0,2,26,2,0,3,2,1,Insider or Physical theft
1,0,0,0,0,0,0,2,247,2,0,3,0,1,Insider or Physical theft
1,1,0,0,0,0,0,2,346,1,0,4,2,1,Phisher
0,0,0,0,0,1,1,2,346,1,0,5,1,1,Unknown
0,0,2,0,0,1,1,1,346,3,0,7,2,1,Unknown
1,0,0,0,0,2,0,2,295,3,0,5,0,1,Unknown
1,2,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,2,0,0,0,0,2,108,2,0,3,2,1,Insider or Physical theft
1,1,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,3,2,0,0,2,0,2,346,0,0,5,0,0,Cybercriminal group
1,2,2,0,0,1,0,2,56,3,0,7,2,1,Unknown
0,3,3,0,0,1,0,2,275,3,0,8,0,1,Unknown
1,0,0,0,0,2,0,2,105,3,0,2,0,1,Unknown
0,3,3,0,0,1,1,2,198,3,0,8,1,1,Unknown
0,3,0,0,0,1,0,2,86,3,0,5,1,1,Unknown
0,0,3,0,0,2,1,2,53,0,0,5,0,1,Cybercriminal group
0,0,3,0,0,2,0,2,346,0,0,3,0,1,Unknown
0,0,3,0,0,1,0,1,328,3,0,5,0,1,Unknown
1,0,1,0,0,2,0,2,346,3,0,5,2,1,Unknown
1,2,2,0,0,1,1,1,346,0,0,7,0,0,Cybercriminal group
1,2,2,0,0,2,2,2,125,0,0,5,0,0,Cybercriminal group
1,2,2,0,0,1,1,2,346,0,0,5,2,1,Unknown
1,1,0,0,0,1,0,1,346,3,0,7,1,1,Unknown
1,3,1,0,0,1,1,2,346,3,0,4,2,1,Phisher
1,1,0,0,0,1,1,1,346,1,0,9,1,1,Third-party
1,0,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,0,0,0,1,1,1,161,3,0,5,1,1,Unknown
1,0,2,0,0,1,1,2,346,0,0,5,0,0,Cybercriminal group
0,0,2,1,0,1,0,2,324,0,0,6,2,1,Unknown
0,0,2,0,0,1,1,1,346,3,0,7,2,1,Unknown
0,0,2,0,0,1,0,2,42,3,0,7,2,1,Unknown
0,1,3,0,0,1,1,2,346,1,0,5,0,1,Unknown
0,0,3,0,0,2,0,2,58,3,0,5,0,1,Unknown
1,0,0,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,0,0,0,0,0,0,2,168,2,0,3,2,1,Insider or Physical theft
0,3,3,0,0,1,1,2,65,3,0,5,1,1,Unknown
0,3,0,1,0,1,1,1,346,1,0,4,1,1,Phisher
0,3,3,0,0,0,0,2,346,0,0,8,0,1,Unknown
1,0,2,1,0,0,0,2,231,2,0,3,2,1,Insider or Physical theft
1,1,1,0,0,0,0,2,346,4,0,9,0,1,Third-party
0,1,0,0,0,1,0,2,43,3,0,5,0,1,Unknown
1,1,2,0,0,1,1,1,148,1,0,4,1,1,Phisher
0,0,3,0,0,1,1,2,75,3,0,5,1,1,Unknown
0,0,2,0,0,1,1,1,346,3,0,7,2,1,Unknown
0,0,2,0,0,0,0,0,346,1,1,0,0,1,Unknown
0,0,1,0,0,2,0,2,346,3,0,5,0,1,Unknown
1,0,2,0,0,1,0,1,293,3,0,9,0,0,Unknown
0,1,0,1,0,1,1,2,346,1,0,5,2,1,Unknown
1,0,2,0,0,1,1,2,73,1,0,9,2,1,Script kiddie or Hacker
1,0,3,0,0,1,1,1,290,1,0,4,2,1,Phisher
1,0,2,0,0,1,1,1,346,1,0,4,2,1,Phisher
0,0,3,0,0,1,1,2,296,1,0,2,1,1,Unknown
1,0,2,0,0,1,1,1,111,1,0,5,1,1,Unknown
0,0,0,0,0,1,0,1,346,1,0,5,1,1,Unknown
1,0,0,1,0,2,0,2,78,4,0,2,0,1,Unknown
1,0,0,0,0,1,1,1,346,4,0,5,2,1,Unknown
0,0,1,0,0,1,1,1,346,0,0,7,0,1,Cybercriminal group
1,1,0,1,0,1,1,0,233,3,0,5,1,1,Unknown
0,3,3,0,0,1,1,2,170,3,0,5,1,1,Unknown
1,0,2,0,0,1,1,1,3,3,0,5,1,1,Unknown
1,0,0,0,0,1,1,1,66,3,0,7,2,1,Unknown
1,0,2,0,0,1,0,1,276,3,0,5,1,1,Unknown
1,3,2,0,0,1,1,2,346,0,0,5,0,0,Cybercriminal group
1,1,2,1,0,0,0,0,131,1,0,4,2,1,Unknown
1,2,2,0,0,2,0,2,346,0,0,5,0,0,Cybercriminal group
0,1,2,0,0,2,1,1,346,4,0,8,0,1,Unknown
0,0,3,1,1,1,1,1,233,3,0,5,1,1,Unknown
1,3,2,0,0,1,1,1,346,0,0,9,0,0,Cybercriminal group
1,0,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
1,3,2,0,0,1,1,1,346,0,0,5,0,0,Cybercriminal group
1,2,2,0,0,1,1,1,41,0,0,4,0,0,Cybercriminal group
1,1,1,0,0,1,1,1,346,0,0,5,0,0,Cybercriminal group
0,1,3,0,0,2,2,2,94,4,0,2,0,1,Unknown
1,0,3,1,0,1,0,1,217,1,0,6,2,1,Script kiddie or Hacker
1,0,2,0,0,0,0,2,41,2,0,3,2,1,Insider or Physical theft
1,1,2,0,0,1,1,1,206,0,0,5,0,0,Cybercriminal group
1,0,0,0,0,2,0,2,100,2,0,3,2,1,Insider or Physical theft
1,0,0,1,0,1,1,1,346,1,0,4,1,1,Phisher
1,3,0,0,0,0,0,0,346,1,1,0,0,1,Unknown
1,0,0,0,0,1,1,1,346,3,0,5,1,1,Unknown
1,3,0,0,0,1,1,1,346,3,0,5,0,1,Unknown
1,1,3,0,0,2,0,2,346,0,0,5,0,1,Cybercriminal group
1,3,3,0,0,1,0,1,135,3,0,5,1,1,Unknown
1,3,3,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
0,3,3,0,0,1,0,2,346,3,0,5,0,1,Unknown
1,0,3,0,0,0,0,2,275,2,0,3,2,1,Insider or Physical theft
0,3,2,0,0,0,0,2,341,3,0,5,0,1,Unknown
0,0,2,0,0,2,1,2,346,0,0,5,0,1,Cybercriminal group
0,0,2,0,0,2,1,2,346,0,0,5,0,1,Cybercriminal group
0,3,3,0,0,2,0,2,211,3,0,7,1,1,Unknown
1,3,2,0,0,0,0,2,346,2,0,3,2,1,Insider or Physical theft
0,0,3,0,0,1,0,1,346,3,0,5,1,1,Unknown
1,1,1,0,0,1,1,1,346,3,0,9,0,1,Unknown
1,3,3,0,0,2,0,2,346,3,0,5,0,1,Unknown
0,2,0,0,0,1,1,1,346,3,0,5,0,1,Unknown
1,0,0,1,0,1,1,1,208,3,0,5,1,1,Unknown
1,3,2,0,0,1,1,1,213,0,0,5,2,1,Unknown
0,0,3,0,0,2,0,2,299,3,0,7,0,1,Unknown
0,0,3,0,0,1,1,1,89,1,0,4,2,1,Phisher
0,0,3,0,0,0,0,2,296,2,0,9,2,1,Insider or Physical theft
1,1,1,0,0,1,0,2,346,4,0,8,0,1,Unknown
0,2,0,0,0,1,1,1,346,2,0,3,2,1,Insider or Physical theft
0,0,3,0,0,0,0,2,346,3,0,5,2,1,Unknown
0,3,3,0,0,1,0,2,346,3,0,5,0,1,Unknown
0,0,3,0,0,1,1,2,346,0,0,5,0,1,Unknown
0,0,2,0,0,2,0,2,164,3,0,7,2,1,Unknown
0,0,2,0,0,2,0,2,207,3,0,6,2,1,Unknown
