Critical Industry,Organisation size,Level of digital intensity,Cyber security role,Cyber security frameworks,Improper network segmentation,Inappropriate remote access,Absence of encryption,Number of users affected,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Attacker type
Yes,Medium,High,No,No,Yes,No,Yes,Missing,,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,Yes,No,Yes,Missing,,External,Social engineering,Medium,Confidentiality,Unknown
No,Large,High,No,No,Yes,No,Yes,Missing,Installed malware,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,Yes,No,,501000,Installed malware,External,Social engineering,Medium,Confidentiality,Cybercriminal group
Yes,Large,Low-Medium,No,No,Yes,,Yes,87000,Installed malware,External,Unknown network attack,Medium,Confidentiality,Unknown
Yes,Large,Low,No,No,,No,,Missing,Installed malware,External,Vendor vulnerability,High,Confidentiality,Third-party
No,Medium,Medium-High,No,No,Yes,No,,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Unknown
No,Small,High,No,No,Yes,No,,Missing,Web compromise,External,Vendor vulnerability,Medium,Confidentiality,Unknown
Yes,Large,High,Yes,No,,,,Missing,,External,Vendor vulnerability,Medium,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,,No,Yes,4900000,,External,Vendor vulnerability,Medium,Confidentiality,Script kiddie or Hacker
No,Medium,Medium-High,Yes,No,,No,,Missing,,External,Vendor vulnerability,Medium,Confidentiality,Third-party
No,Large,High,Yes,No,No,No,Yes,Missing,,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Small,Low-Medium,No,No,,No,,Missing,Installed malware,External,,High,Availability,Cybercriminal group
Yes,Small,Low-Medium,No,No,,No,,156000,,External,,High,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,,No,,Missing,Installed malware,External,Vendor vulnerability,High,Availability,Cybercriminal group
No,Large,High,No,No,Yes,No,Yes,79000000,,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Large,High,No,No,Yes,No,Yes,Missing,,External,,High,Confidentiality,Unknown
Yes,Large,High,No,No,No,No,Yes,92000000,,Internal,Inappropriate use of privilege,High,Confidentiality,Unknown
Yes,Large,High,No,No,No,No,Yes,Missing,,External,Insufficient authentication validation,Low,Confidentiality,Script kiddie or Hacker
Yes,Large,Low-Medium,Yes,No,No,No,Yes,11000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low,No,No,Yes,No,Yes,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
Yes,Medium,Low-Medium,No,No,Yes,No,Yes,128000,Installed malware,External,,High,Availability,Cybercriminal group
No,Large,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Script kiddie or Hacker
Yes,Large,Low-Medium,No,No,Yes,No,Yes,13905,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Small,Low-Medium,No,No,Yes,No,Yes,19727,Installed malware,External,,High,Availability,Cybercriminal group
No,,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Script kiddie or Hacker
No,Large,Low-Medium,No,No,No,No,No,43600,Misuse of resources,External,Vendor vulnerability,Medium,Confidentiality,Third-party
Yes,Large,High,No,No,Yes,No,No,114000,Web compromise,External,Insufficient input validation,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,Yes,No,No,No,No,280000,Misuse of resources,Internal,Inappropriate use of privilege,High,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,Yes,Yes,Yes,Missing,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Medium,High,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Low,No,No,No,No,Yes,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,Large,Low,No,No,No,No,Yes,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,Small,Medium-High,No,No,No,No,Yes,Missing,Installed malware,External,Vendor vulnerability,High,Confidentiality,Unknown
Yes,Large,Low-Medium,Yes,No,No,No,No,417000,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Large,Low-Medium,No,No,Yes,No,Yes,13698,,External,,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,No,,Missing,Installed malware,External,Unknown device attack,High,Confidentiality,Cybercriminal group
No,Large,Low-Medium,Yes,No,Yes,No,No,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Medium,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,Vendor vulnerability,High,Confidentiality,Third-party
No,,Medium-High,No,No,Yes,No,Yes,Missing,,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Large,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,Vendor vulnerability,High,Confidentiality,Script kiddie or Hacker
No,,High,No,No,Yes,No,No,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,Yes,No,No,82601,Misuse of resources,External,Vendor vulnerability,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,1200000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,High,No,No,,,Yes,5400,,External,Unknown network attack,Low,Confidentiality,Unknown
No,Small,Medium-High,No,No,Yes,No,Yes,Missing,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Cybercriminal group
No,Small,Medium-High,No,No,Yes,No,Yes,250000,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
No,,Medium-High,No,No,,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
Yes,Large,High,No,No,,,,60000,Misuse of resources,External,Physical device,High,Confidentiality,Unknown
Yes,Large,High,Yes,No,,No,Yes,Missing,,External,Vendor vulnerability,Low,Confidentiality,Script kiddie or Hacker
Yes,Large,High,No,No,,No,Yes,Missing,,External,,High,Confidentiality,Unknown
Yes,Medium,High,No,No,,No,Yes,566217,,External,,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,Yes,No,Yes,3700000,Installed malware,External,Unknown network attack,High,Confidentiality,Script kiddie or Hacker
No,Small,Medium-High,No,No,,,Yes,Missing,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Cybercriminal group
No,Large,Medium-High,Yes,No,,,Yes,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
Yes,Small,Low-Medium,No,No,Yes,No,Yes,Missing,Installed malware,External,Physical device,High,Confidentiality,Cybercriminal group
No,Large,Low,Yes,No,,,,45000,,External,Unknown network attack,High,Confidentiality,Script kiddie or Hacker
No,Large,Medium-High,Yes,No,Yes,No,,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
Yes,Large,Low-Medium,Yes,No,Yes,,Yes,13000,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
Yes,Large,Low-Medium,No,No,Yes,,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,Medium,Medium-High,No,No,Yes,,Yes,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Script kiddie or Hacker
No,Large,Medium-High,No,No,Yes,,Yes,Missing,,External,Unknown network attack,High,Confidentiality,Script kiddie or Hacker
Yes,Large,High,No,No,Yes,,Yes,1900000,,External,,Low,Confidentiality,Unknown
Yes,Large,Medium-High,Yes,No,,,,Missing,,External,,Low,Confidentiality,Unknown
No,Large,Medium-High,Yes,No,,,,3000000,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Medium,Medium-High,No,No,,,,Missing,,External,Unknown website/web application attack,High,Confidentiality,Unknown
No,Large,Medium-High,Yes,No,Yes,No,,Missing,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Script kiddie or Hacker
No,Medium,Medium-High,No,No,Yes,No,,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
No,,High,No,No,Yes,No,Yes,36802,Web compromise,External,Insufficient input validation,Low,Confidentiality,Script kiddie or Hacker
Yes,Large,Low-Medium,No,No,,,Yes,8435,Misuse of resources,External,Social engineering,Medium,Confidentiality,Script kiddie or Hacker
No,Large,Medium-High,No,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,No,Yes,Missing,,External,Unknown network attack,Medium,Confidentiality,Unknown
Yes,Medium,Low,No,No,Yes,No,Yes,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,,Medium-High,No,No,No,No,Yes,61000,Physical Theft,External,Vendor vulnerability,High,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,Yes,No,Yes,300000,Installed malware,External,Unknown network attack,Low,Confidentiality,Cybercriminal group
No,Large,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown network attack,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,27000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Medium,High,Yes,No,,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,Yes,No,,,,11000000,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Large,High,Yes,No,,No,Yes,1000000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Medium,Low-Medium,No,No,,,,45000,Installed malware,External,Unknown network attack,High,Availability,Cybercriminal group
Yes,,Low,No,No,Yes,,,Missing,Installed malware,External,Unknown website/web application attack,High,Confidentiality,Script kiddie or Hacker
No,Medium,Medium-High,No,No,Yes,No,,39561,Installed malware,External,Social engineering,High,Confidentiality,Cybercriminal group
Yes,Medium,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Low-Medium,Yes,No,Yes,No,Yes,100000,Installed malware,External,Vendor vulnerability,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,105309,Misuse of resources,External,Social engineering,Medium,Confidentiality,Unknown
Yes,Small,High,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
Yes,Medium,Low-Medium,No,No,Yes,No,No,26873,Installed malware,External,,High,Availability,Cybercriminal group
No,,Medium-High,No,No,Yes,No,Yes,800000,Web compromise,External,Vendor vulnerability,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,No,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low,Yes,No,No,No,,500000,Web compromise,External,Insufficient input validation,High,Confidentiality,Unknown
No,Medium,Medium-High,No,No,,,Yes,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,Large,Medium-High,No,No,,,Yes,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,Large,Low-Medium,Yes,No,No,No,Yes,Missing,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
Yes,Medium,High,No,No,No,No,,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,85000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Low-Medium,No,No,Yes,No,Yes,93000,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Small,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
No,Medium,Medium-High,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,High,Confidentiality,Unknown
Yes,Medium,Low,No,No,Yes,No,Yes,Missing,Installed malware,External,Insufficient input validation,High,Confidentiality,Unknown
No,Large,Low-Medium,No,No,Yes,No,Yes,163000,,External,Insufficient authentication validation,Medium,Confidentiality,Script kiddie or Hacker
Yes,Large,High,Yes,No,Yes,No,Yes,Missing,,External,,Medium,Confidentiality,Unknown
Yes,,Medium-High,No,No,No,No,,400000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,Low-Medium,No,No,No,No,,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
No,Large,Low-Medium,No,No,Yes,No,Yes,Missing,Web compromise,External,Unknown website/web application attack,Medium,Confidentiality,Unknown
No,Large,Low-Medium,No,No,No,No,,15000,Physical Theft,External,Physical device,Medium,Confidentiality,Unknown
No,Medium,High,No,No,Yes,No,Yes,Missing,Installed malware,External,Unknown network attack,Medium,Confidentiality,Cybercriminal group
No,Small,Low-Medium,Yes,No,Yes,No,Yes,Missing,,External,Unknown network attack,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,55000,Physical Theft,External,Physical device,Medium,Confidentiality,Insider or Physical theft
Yes,Large,High,Yes,No,Yes,,,106000000,,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Large,High,Yes,No,,,,100000,Misuse of resources,Internal,Inappropriate use of privilege,Medium,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,,,,9681,Installed malware,External,Unknown network attack,High,Availability,Cybercriminal group
Yes,Small,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Medium,Confidentiality,Unknown
Yes,Large,High,No,No,Yes,No,Yes,40000000,Installed malware,External,Unknown network attack,High,Confidentiality,Unknown
Yes,Medium,Low,No,No,,,Yes,14558000,,External,Unknown network attack,Low,Confidentiality,Unknown
No,,Low-Medium,No,No,,,Yes,Missing,,External,Unknown network attack,Low,Confidentiality,Unknown
No,Large,High,No,No,Yes,,,1100000,,External,Unknown network attack,Medium,Confidentiality,Unknown
No,Medium,Medium-High,No,No,,,Yes,2400000,,External,,High,Confidentiality,Unknown
No,,High,No,No,Yes,Yes,Yes,Missing,Installed malware,External,Unknown network attack,High,Availability,Cybercriminal group
Yes,Medium,Low-Medium,No,No,,,No,20000,Misuse of resources,External,Social engineering,Low,Confidentiality,Phisher
Yes,Large,Low,No,No,Yes,No,Yes,1105000,Installed malware,External,,High,Confidentiality,Cybercriminal group
No,Large,Low-Medium,No,No,,,,Missing,Installed malware,External,Unknown network attack,High,Confidentiality,Cybercriminal group
No,,Low-Medium,No,No,,,,Missing,,External,Insufficient input validation,Low,Confidentiality,Unknown
Yes,Small,Low-Medium,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Unknown
Yes,Large,Low-Medium,Yes,No,No,No,No,Missing,Misuse of resources,External,Social engineering,Medium,Confidentiality,Phisher
No,,High,No,No,,,,21856,Misuse of resources,External,,Medium,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,No,No,Yes,33000,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
Yes,Medium,High,No,No,,,,Missing,,External,Unknown network attack,Low,Confidentiality,Unknown
Yes,Medium,High,No,No,No,No,Yes,Missing,Physical Theft,External,Physical device,Low,Confidentiality,Insider or Physical theft
No,Medium,High,No,No,Yes,No,Yes,111589,Misuse of resources,External,Social engineering,High,Confidentiality,Phisher
No,Large,Low-Medium,No,No,,,,18000,Installed malware,External,Unknown device attack,Low,Confidentiality,Unknown
Yes,,Low,No,No,,,,375000,,External,,Medium,Confidentiality,Unknown
Yes,,Low-Medium,No,No,,,,300000,,External,Insufficient input validation,High,Confidentiality,Unknown
Yes,Large,Low-Medium,No,No,,,,31667,,External,Unknown network attack,Medium,Confidentiality,Unknown
Yes,Medium,High,No,No,No,No,No,8500000,Misuse of resources,Internal,Inappropriate use of privilege,High,Confidentiality,Unknown
No,Small,Medium-High,No,No,,,Yes,2000000,,External,,Low,Confidentiality,Unknown
No,Large,Medium-High,No,No,,,,Missing,Misuse of resources,External,,Low,Confidentiality,Unknown
Yes,,High,No,Yes,,,,Missing,Installed malware,External,,High,Confidentiality,Cybercriminal group
